iter,v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5,time
81,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
82,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
83,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
84,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
85,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
86,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
87,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
88,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
89,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
90,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
91,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
92,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
93,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
94,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
95,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
96,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
97,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
98,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
99,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
100,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
101,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
102,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
103,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
104,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
105,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
106,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
107,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
108,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
109,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
110,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
111,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
112,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
113,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
114,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
115,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
116,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
117,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
118,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
119,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
120,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
121,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
122,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
123,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
124,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
125,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
