iter,v1,v2,v3,v4,v5,v6,v7,fitness,p1,p2,p3,p4,p5,time
90,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
91,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
92,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
93,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
94,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
95,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
96,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
97,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
98,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
99,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
100,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
101,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
102,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
103,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
104,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
105,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
106,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
107,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
108,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
109,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
110,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
111,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
112,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
113,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
114,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
115,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
116,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
117,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
118,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
119,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
120,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
121,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
122,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
123,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
124,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
125,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
126,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
127,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
128,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
129,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
130,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
131,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
132,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
133,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
134,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
135,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
136,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
137,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
138,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
139,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
140,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
141,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
142,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
143,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
144,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
145,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
146,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
147,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
148,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
149,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
150,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
151,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
152,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
153,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
154,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
155,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
156,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
157,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
158,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
159,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
160,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
161,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
162,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
163,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
164,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
165,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
166,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
167,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
168,2.5,3.8,3.0,3.0,30.0,3.0,13.9,27388.264638463574,5491.76872738663,5786.025602397895,5786.03430554012,5162.217536424466,5162.218466714462,0.00
