iter,v1,v2,fitness,p1,time
179,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
180,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
181,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
182,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
183,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
184,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
185,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
186,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
187,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
188,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
189,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
190,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
191,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
192,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
193,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
194,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
195,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
196,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
197,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
198,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
199,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
200,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
201,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
202,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
203,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
204,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
205,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
206,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
207,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
208,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
209,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
210,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
