v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5
12.6,16.6,30.0,12.0,16.2,11159.222803940509,1614.054970812658,811.0624244341668,811.062695672665,3961.5192742612653,3961.5234387597548
8.0,15.3,20.3,25.0,7.4,10957.22981885641,1198.7000748897099,1208.7529948864308,1208.750807086597,3670.5115651244614,3670.5143768692105
7.7,3.0,0.0,20.4,11.8,-20600000.0,0.0,0.0,0.0,0.0,0.0
10.2,16.0,22.2,9.6,27.8,-2991766.6996245594,0.0,0.0,0.0,0.0,0.0
25.0,21.8,8.5,18.7,30.0,-1835198.872544737,0.0,0.0,0.0,0.0,0.0
20.9,18.3,6.1,25.0,14.2,-6738024.279919679,0.0,0.0,0.0,0.0,0.0
9.2,3.0,10.0,3.0,17.7,-4600000.000000002,0.0,0.0,0.0,0.0,0.0
14.2,25.0,0.3,25.0,0.0,-58199999.99999999,0.0,0.0,0.0,0.0,0.0
12.0,22.0,30.0,9.0,3.9,-12359268.319885964,0.0,0.0,0.0,0.0,0.0
10.2,14.6,3.6,10.8,30.0,-11429863.677158482,0.0,0.0,0.0,0.0,0.0
24.2,3.0,29.6,14.1,4.4,-1199999.9999999993,0.0,0.0,0.0,0.0,0.0
12.5,21.5,14.8,23.6,20.0,-8783940.085752038,0.0,0.0,0.0,0.0,0.0
8.5,15.4,11.6,25.0,0.0,-10000000.0,0.0,0.0,0.0,0.0,0.0
6.3,10.1,18.8,20.5,11.8,12535.034067422803,935.6380281712746,389.6546655469593,389.6530394467511,5410.049760816458,5410.038573441359
5.1,3.0,29.4,25.0,15.8,21787.068280326064,4002.6708054062824,4875.811467373447,4875.815861469163,4016.3884377285103,4016.3817083486592
20.2,19.4,4.4,14.2,10.4,-16376181.496977476,0.0,0.0,0.0,0.0,0.0
25.0,5.7,8.3,16.7,10.9,12427.503333356974,2373.5635351011265,2158.232017029527,2158.2318905233365,2868.735256133008,2868.740634569974
6.8,17.8,22.6,25.0,8.6,13874.147103836778,1324.6743268988193,2561.6082821819473,2561.593079276248,3713.124919532819,3713.1464959469445
23.7,11.2,14.4,10.6,26.5,5669.622697524647,4585.690994145679,158.50288603529307,158.5028519216854,383.4628747940342,383.46309062795524
3.5,4.7,25.6,21.6,15.0,18751.98887244809,2852.0818934066738,3585.219487572697,3585.2115496866263,4364.737080389056,4364.738861393039
25.0,13.5,16.5,25.0,15.8,14357.35413336613,4156.562049785741,733.2390621173863,733.2369546536304,4367.160711994274,4367.1553548151
9.7,17.8,16.2,3.0,27.2,16337.967695892421,1027.1965303236445,4095.9770032610663,4095.9868899310054,3559.410530067756,3559.39674230895
21.0,15.4,9.0,25.0,27.8,18415.819449697374,4883.381141122347,1587.6493845098428,1587.6489321786414,5178.566389340791,5178.573602545754
25.0,15.9,28.7,11.1,6.3,14476.638086138606,5844.556055128565,651.8284675319566,651.8115746568942,3664.225500705888,3664.216488115303
3.0,10.6,1.8,13.8,25.2,-10779500.648186693,0.0,0.0,0.0,0.0,0.0
20.0,13.0,25.6,10.1,4.0,-2000000.0,0.0,0.0,0.0,0.0,0.0
23.2,22.0,29.2,3.0,13.3,22460.527439708298,3348.43634712906,3783.5793590343314,3783.5776511536037,5772.464124564382,5772.469957826921
24.9,10.9,21.7,6.0,10.0,8443.032072704458,3771.352654926887,2192.8909598851455,2192.8883120221253,142.95033671029535,142.94980916000594
25.0,8.0,30.0,8.5,27.6,-15096939.731147498,0.0,0.0,0.0,0.0,0.0
10.6,17.9,12.4,7.0,17.0,14265.192268878447,101.10615847659543,1709.0021398678891,1708.9982839058243,5373.04475862611,5373.040928002029
19.9,21.6,11.2,6.2,22.8,13367.64960811472,1394.822829877181,1399.7290150589338,1399.7293751739035,4586.680702559676,4586.687685445024
16.2,5.2,20.9,6.9,20.0,-16152923.18766573,0.0,0.0,0.0,0.0,0.0
25.0,17.8,19.1,18.6,3.5,-8410963.020130495,0.0,0.0,0.0,0.0,0.0
18.2,20.3,0.4,7.6,8.7,-24924488.334713608,0.0,0.0,0.0,0.0,0.0
3.0,9.8,26.2,13.4,0.0,-10000000.0,0.0,0.0,0.0,0.0,0.0
3.0,23.4,21.2,4.0,23.8,20910.105907745092,4773.699046593722,4127.9270701001005,4127.928652195903,3940.2800115265263,3940.271127328836
25.0,20.7,0.0,3.0,30.0,-21400000.0,0.0,0.0,0.0,0.0,0.0
10.2,14.9,13.1,8.3,19.4,-1751712.4091053447,0.0,0.0,0.0,0.0,0.0
