v1,v2,fitness,p1
1.9,3.1,1132.0503099630243,1132.0503099630243
2.4,3.2,1412.235746827238,1412.235746827238
2.3,2.9,1571.4036213539569,1571.4036213539569
1.3,0.8,446.7367107756326,446.7367107756326
2.1,2.3,1455.0540870638088,1455.0540870638088
2.5,5.0,681.8763151070445,681.8763151070445
0.7,4.1,73.90739394353518,73.90739394353518
0.6,4.1,153.47104686237816,153.47104686237816
0.6,2.6,173.53333100746903,173.53333100746903
1.8,1.2,966.9259654991896,966.9259654991896
1.8,1.4,986.9330906883152,986.9330906883152
0.6,4.9,32.68053844564565,32.68053844564565
1.9,4.6,520.0551850215764,520.0551850215764
1.0,2.1,321.3872234402007,321.3872234402007
1.8,4.7,448.98176043310946,448.98176043310946
1.0,1.1,253.41181536233043,253.41181536233043
2.4,2.8,1674.1925308508833,1674.1925308508833
2.3,1.0,1550.2204775900873,1550.2204775900873
1.0,3.7,444.8309537962565,444.8309537962565
2.0,1.2,1200.9959525783618,1200.9959525783618
0.8,2.5,180.74131771065146,180.74131771065146
2.0,3.8,901.4994461694229,901.4994461694229
2.1,2.4,1498.3690436450688,1498.3690436450688
1.9,4.5,627.2756578010526,627.2756578010526
1.2,0.6,357.84539087004646,357.84539087004646
1.1,2.5,459.771777091208,459.771777091208
0.6,3.8,79.27544782405081,79.27544782405081
2.2,4.7,571.0071706840582,571.0071706840582
0.8,3.4,148.6384879025721,148.6384879025721
1.9,3.0,1164.0058343415824,1164.0058343415824
0.8,3.9,261.8955640312785,261.8955640312785
0.9,3.8,350.0488690873338,350.0488690873338
1.7,3.1,992.5164782573901,992.5164782573901
1.9,1.2,1072.0834430063678,1072.0834430063678
1.2,4.7,214.912648463746,214.912648463746
0.6,2.5,91.08089421519166,91.08089421519166
0.8,2.4,244.34492260335347,244.34492260335347
1.7,2.8,1076.948876899343,1076.948876899343
2.4,3.6,1190.6098279825694,1190.6098279825694
1.0,2.2,346.7989356461168,346.7989356461168
1.6,2.9,967.9937040701574,967.9937040701574
0.6,0.6,57.35390250448242,57.35390250448242
1.7,4.4,732.3416329098167,732.3416329098167
1.4,3.0,682.5991778629462,682.5991778629462
2.0,2.3,1338.3274384151453,1338.3274384151453
2.3,3.4,1222.2124182844982,1222.2124182844982
0.9,1.6,228.4531654900704,228.4531654900704
2.2,5.0,647.720712840774,647.720712840774
2.4,3.1,1502.003984365695,1502.003984365695
1.2,2.8,622.3827767020946,622.3827767020946
2.5,2.0,1949.1433741755322,1949.1433741755322
2.0,3.4,1255.4541712679536,1255.4541712679536
1.8,5.0,466.3526619122071,466.3526619122071
0.5,2.8,42.14412545505402,42.14412545505402
1.6,5.0,339.7977125540338,339.7977125540338
1.9,3.6,997.4989968832042,997.4989968832042
2.5,4.7,775.4238288639484,775.4238288639484
1.4,1.3,567.7080131016507,567.7080131016507
2.4,3.8,1209.2976076934435,1209.2976076934435
0.8,2.6,191.73777776215286,191.73777776215286
0.5,4.6,17.898724538639485,17.898724538639485
2.4,1.6,1786.6649855673904,1786.6649855673904
1.7,2.2,969.8165205421537,969.8165205421537
2.5,1.5,1906.1634395192118,1906.1634395192118
0.5,1.6,74.98723414785466,74.98723414785466
2.4,3.4,1250.9231832188898,1250.9231832188898
0.8,2.9,165.1518133550428,165.1518133550428
1.3,2.4,563.9888984251536,563.9888984251536
0.8,3.2,349.79400275303095,349.79400275303095
2.5,3.9,1076.7975827410569,1076.7975827410569
1.0,4.4,489.9579246418865,489.9579246418865
0.5,4.4,33.04048322329557,33.04048322329557
