v1,v2,v3,v4,v5,v6,v7,fitness,p1,p2,p3,p4,p5
1.1,4.2,10.0,21.8,3.9,3.0,13.2,2209.9665223849897,124.26102950612601,705.4250719932548,705.4259348034166,337.4274421911998,337.4270438909924
2.3,0.5,18.5,9.6,8.7,23.2,25.3,7088.325059576222,1561.291781001553,1014.0803809909935,1014.080158717429,1749.4354031505532,1749.4373357156924
2.1,2.0,17.9,14.9,8.2,8.8,21.7,8072.162835433535,1606.2471097111759,1083.7706649539646,1083.7717091578538,2149.185990818946,2149.1873607915945
1.3,2.9,17.4,6.3,19.3,11.9,8.9,2209.4686362169014,467.8984494973183,59.305770246371395,59.30573318444271,811.4794713360697,811.4792119526992
1.4,2.6,22.4,9.1,12.8,4.2,0.0,-5600000.0,0.0,0.0,0.0,0.0,0.0
1.9,2.4,12.2,25.0,17.7,15.4,0.0,-16399999.999999998,0.0,0.0,0.0,0.0,0.0
1.3,0.5,3.0,19.2,5.2,16.6,6.9,-4187110.1731963768,0.0,0.0,0.0,0.0,0.0
1.0,2.6,25.0,23.4,12.6,5.8,11.7,1867.2133474826664,598.7558051430218,22.340969125693157,22.341011418957255,611.8880827125517,611.8874790824425
1.8,3.2,3.0,22.6,8.8,7.4,18.1,3239.448391605526,1930.5505530428195,192.938544633083,192.9388163826316,461.5101886593872,461.5102888876049
2.0,0.5,11.5,8.8,16.4,24.6,30.0,5798.987794992894,881.6923208151859,1059.8250236450458,1059.8245958407445,1398.8223794770201,1398.8234752148978
2.5,3.8,12.8,18.6,2.7,5.0,19.0,-11804688.358621348,0.0,0.0,0.0,0.0,0.0
2.5,0.9,11.8,22.0,30.0,25.0,17.8,10319.054230790094,1797.0672583652508,2314.2716942761535,2314.272998726491,1946.7204426303908,1946.7218367918072
1.6,0.5,16.0,13.6,28.7,15.6,30.0,-8029255.823249375,0.0,0.0,0.0,0.0,0.0
1.3,1.3,20.8,21.1,30.0,10.2,7.8,2259.9675420239582,337.49322177255357,583.7117928672643,583.7122641532892,377.52487739153946,377.5253858393116
1.4,2.0,25.0,10.1,0.0,12.7,26.0,-5600000.0,0.0,0.0,0.0,0.0,0.0
0.8,3.1,11.4,16.3,27.3,14.2,7.4,1049.7441132155686,253.27722439264633,273.44729936311313,273.4473932983252,124.78637007501807,124.78582608646592
1.2,4.4,8.0,15.6,20.4,25.0,18.6,1561.6847723377243,36.84057614317512,622.1630577945176,622.1628916025713,140.25928417011588,140.2589626273444
0.5,3.6,14.0,13.2,9.2,9.4,16.1,910.7880401194823,255.78542092280514,77.4890469609442,77.4889857412332,250.01218419088877,250.01240230361105
2.2,1.4,5.1,13.6,4.7,16.5,8.3,-8354460.534939025,0.0,0.0,0.0,0.0,0.0
0.8,4.2,7.6,19.3,0.0,3.0,9.4,-3200000.0,0.0,0.0,0.0,0.0,0.0
2.5,3.0,9.4,19.0,11.0,21.2,3.9,-7333931.252681496,0.0,0.0,0.0,0.0,0.0
1.0,2.7,25.0,4.9,9.6,23.3,3.3,-575715.522691767,0.0,0.0,0.0,0.0,0.0
1.4,2.1,11.0,14.3,18.7,7.9,0.0,-10600000.0,0.0,0.0,0.0,0.0,0.0
1.8,4.6,5.8,16.4,0.7,8.6,13.0,-5800000.000000001,0.0,0.0,0.0,0.0,0.0
0.6,4.8,12.6,23.6,16.2,15.8,7.8,1434.310543043137,162.14566299481493,520.4262867917863,520.4269843810148,115.65533651158592,115.65627236393495
0.8,4.6,14.3,17.2,3.8,21.9,30.0,1707.9821946135455,116.62562515365937,464.28179993165287,464.28198604956305,331.3948945530539,331.39788892561614
0.7,3.2,25.0,7.8,15.5,3.0,0.0,-2800000.0,0.0,0.0,0.0,0.0,0.0
1.9,4.2,3.0,25.0,5.3,8.2,10.2,5272.593767396747,2606.2025769734746,290.1276168959688,290.1283025413375,1043.0673778329674,1043.0678931529987
2.5,2.5,7.8,3.0,8.1,17.7,11.4,-1169174.2082297408,0.0,0.0,0.0,0.0,0.0
0.7,3.0,25.0,25.0,30.0,19.2,11.2,602.3117035342349,166.08020242258877,42.6636334241326,42.66347891726085,175.4524290453319,175.45195972492075
2.0,1.8,15.2,10.4,24.0,25.0,10.3,5988.465022515171,1066.1596581022768,1062.0373761047495,1062.0337865572274,1399.1170289317497,1399.117172819167
1.8,2.4,7.4,23.7,29.2,5.2,23.5,3430.3960423998615,203.49736807574004,543.458558998045,543.457884343746,1069.9916238028713,1069.9906071794596
2.3,1.4,5.5,11.8,5.8,17.9,20.0,-1273412.482341964,0.0,0.0,0.0,0.0,0.0
0.6,5.0,18.6,21.4,3.7,3.0,11.8,343.70872007235533,74.48758787467408,83.35940394787339,83.35948876991522,51.251091607657294,51.25114787223533
1.5,2.4,3.0,21.5,2.5,3.0,7.5,-1000000.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,17.0,8.8,30.0,9.4,0.2,-1600000.0,0.0,0.0,0.0,0.0,0.0
1.8,1.2,17.9,11.2,0.0,4.3,15.4,-8200000.000000003,0.0,0.0,0.0,0.0,0.0
1.2,2.2,7.6,15.8,30.0,19.3,14.0,1431.2820608988993,233.70679443460776,181.6482291502267,181.6480234682863,417.1393954878247,417.13961835795385
1.6,5.0,18.8,19.6,15.3,4.6,30.0,7636.537599878684,1343.5218774381947,1315.981908175054,1315.9798836000264,1830.5270025735067,1830.526928091902
2.1,4.4,13.6,25.0,14.0,7.0,30.0,8653.286888685743,1017.0203145288167,1444.2576203556234,1444.2571811121782,2373.8756980202356,2373.8760746688895
1.7,2.0,18.4,12.2,2.7,17.6,14.8,-1475207.9498426295,0.0,0.0,0.0,0.0,0.0
